Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/26/2023 23:00,11425.831422,1941.113065,5415.891487,1171.244446,14738.393131,3653.384954,7730.758532,1450.79641,47527.413446
01/26/2023 24:00,11073.929352,1913.395743,5424.305065,1145.183596,14346.0137,3464.346589,7504.780737,1438.322103,46310.276885
01/27/2023 01:00,10872.699276,1926.084789,5511.794879,1124.410395,14213.351001,3366.891097,7258.78551,1379.990298,45654.007245
01/27/2023 02:00,10876.428589,1958.52188,5542.268825,1128.25237,14320.379149,3284.188889,7251.102564,1398.231795,45759.374061
01/27/2023 03:00,10899.568106,1981.094024,5534.536448,1134.910357,14477.241387,3267.330463,7306.70907,1413.608509,46014.998363
01/27/2023 04:00,11037.862113,2025.590974,5532.749587,1147.874632,14791.2014,3264.855197,7449.83871,1427.752316,46677.724927
01/27/2023 05:00,11349.972557,2099.160692,5549.461907,1177.5252,15418.58132,3322.456209,7726.534937,1462.31029,48106.003111
01/27/2023 06:00,11972.489934,2240.936027,5577.470501,1233.292262,16399.276043,3474.48027,8265.164325,1531.18094,50694.290301
01/27/2023 07:00,12878.21368,2423.950353,5642.664511,1322.363719,17913.737576,3839.790361,8920.065323,1652.048756,54592.834279
01/27/2023 08:00,13210.488623,2459.478881,5650.689887,1362.250505,18570.863542,3934.160403,9211.938582,1692.590373,56092.460797
01/27/2023 09:00,13048.80064,2336.859167,5603.589644,1322.51942,17743.11675,3854.891564,9011.731388,1645.829098,54567.33767
01/27/2023 10:00,12788.243053,2198.005901,5600.12263,1268.231368,16584.279835,3778.71155,8608.414055,1559.767343,52385.775735
01/27/2023 11:00,12503.251937,2034.806065,5564.578006,1207.927285,15501.685014,3760.854993,8218.398784,1470.574043,50262.076127
01/27/2023 12:00,12162.326557,1888.686102,5491.977629,1144.628748,14535.204998,3682.575277,7868.800657,1383.443199,48157.643166
01/27/2023 13:00,11804.908107,1770.650658,5418.082984,1085.700243,13650.719307,3602.079657,7569.847252,1320.053252,46222.04146
01/27/2023 14:00,11645.183196,1664.5997,5350.821455,1039.007216,13048.131812,3529.58039,7407.638029,1272.596609,44957.558407
01/27/2023 15:00,11541.196482,1635.061081,5318.664007,1005.610087,12660.382941,3458.290189,7276.255212,1238.384133,44133.844131
01/27/2023 16:00,11393.890741,1607.329193,5321.658263,1003.460597,12301.75947,3433.937102,7282.534265,1222.331493,43566.901124
01/27/2023 17:00,11403.949532,1641.93197,5311.389427,998.920845,12392.99744,3387.607921,7429.363071,1241.636607,43807.796813
01/27/2023 18:00,11505.550943,1720.640245,5268.17432,997.349046,12863.005526,3432.908927,7745.867342,1266.885918,44800.382268
01/27/2023 19:00,11676.411976,1837.930475,5304.989953,1097.662462,13785.480339,3544.065396,7931.537311,1343.324147,46521.402058
01/27/2023 20:00,11639.711895,1861.251781,5388.496386,1114.594828,14124.960637,3560.982494,7824.398395,1375.854438,46890.250855
01/27/2023 21:00,11430.22406,1902.38284,5424.052363,1104.140591,14241.459847,3508.033115,7698.237637,1380.620679,46689.151133
01/27/2023 22:00,11083.915212,1885.62333,5549.906317,1160.545584,14099.617969,3432.138201,7455.141505,1375.568072,46042.45619
01/27/2023 23:00,10652.089927,1823.112093,5602.711712,1143.24108,13664.093863,3312.77404,7121.303896,1351.852538,44671.179148
01/27/2023 24:00,10193.151815,1734.452909,5583.725249,1119.721076,13252.639776,3154.160906,6793.245395,1320.165307,43151.262433
01/28/2023 01:00,9886.423893,1542.049084,5658.339025,1102.941134,12644.848073,3042.868493,6634.535989,1263.40829,41775.413979
01/28/2023 02:00,9619.154437,1494.564396,5645.971581,1095.432508,12335.714071,2936.100894,6438.132222,1250.199455,40815.269564
01/28/2023 03:00,9427.798333,1508.784561,5637.059085,1090.27132,12067.988048,2866.22847,6311.893317,1238.659881,40148.683015
01/28/2023 04:00,9283.586498,1530.483299,5630.476894,1088.969091,12031.701804,2837.633102,6262.350345,1225.685421,39890.886454
01/28/2023 05:00,9288.588301,1516.159188,5662.946343,1098.005097,12055.854754,2898.295955,6285.630722,1231.021593,40036.501953
01/28/2023 06:00,9391.242163,1561.794777,5673.640964,1115.115719,12256.117113,2956.873634,6428.498009,1244.035867,40627.318246
01/28/2023 07:00,9571.182275,1597.123014,5647.65868,1140.994154,12566.185007,3052.259133,6676.276015,1270.000702,41521.67898
01/28/2023 08:00,9808.35985,1662.910502,5594.444605,1171.512129,13076.540052,3144.276216,6966.996322,1315.00815,42740.047825
01/28/2023 09:00,10107.227991,1704.49911,5680.0841,1189.732774,13567.527337,3145.546712,7222.14944,1340.974355,43957.741819
01/28/2023 10:00,10419.850156,1700.691387,5772.572491,1182.220786,13882.143221,3180.274508,7410.899642,1345.344783,44893.996974
01/28/2023 11:00,10520.424703,1677.275375,5716.494319,1155.187754,13813.796013,3301.329412,7445.347196,1312.487388,44942.34216
01/28/2023 12:00,10518.356893,1626.957003,5661.531582,1122.390138,13537.913759,3331.961509,7398.480455,1268.34665,44465.937989
01/28/2023 13:00,10460.275058,1599.432487,5611.923448,1088.431828,12973.670256,3334.70036,7265.907934,1230.096904,43564.438274
01/28/2023 14:00,10336.608207,1534.969448,5593.718578,1058.013504,12253.297011,3332.825268,7119.587948,1203.521165,42432.541129
01/28/2023 15:00,10221.477311,1507.796456,5563.373453,1035.658803,11762.904082,3321.401846,7021.853926,1179.73867,41614.204549
01/28/2023 16:00,10155.490364,1489.920579,5509.600973,1015.200225,11532.074742,3390.555519,6980.327699,1171.444001,41244.614103
01/28/2023 17:00,10103.278314,1447.608534,5390.695536,977.189602,11483.727603,3375.481951,7027.266209,1173.570726,40978.818474
01/28/2023 18:00,10165.072682,1490.71956,5250.180866,946.239683,11650.439486,3358.203853,7105.013235,1197.256244,41163.12561
01/28/2023 19:00,10317.060379,1542.813347,5293.585375,1016.982247,12100.872284,3368.723379,7290.883268,1243.712561,42174.63284
01/28/2023 20:00,10308.483516,1547.4957,5331.167409,1066.638359,12056.861759,3309.331537,7206.753573,1250.9776,42077.709454
01/28/2023 21:00,10214.285953,1509.044549,5373.389884,1024.622075,11884.074049,3253.218166,7052.86101,1238.343264,41549.83895
01/28/2023 22:00,10022.421085,1466.811834,5390.676788,1030.323179,11477.437017,3170.221993,6861.171354,1214.587004,40633.650254
01/28/2023 23:00,9741.217597,1392.984636,5392.046741,1008.280404,10896.476111,3061.039892,6549.631702,1176.618996,39218.296079
01/28/2023 24:00,9415.816286,1356.775035,5413.299999,981.265509,10413.935445,2972.442925,6234.939204,1145.753337,37934.22774
01/29/2023 01:00,9002.104179,1206.624294,5383.875802,961.278669,10006.22784,2921.928325,5957.871566,1133.815334,36573.726009
01/29/2023 02:00,8739.179495,1148.753856,5356.951129,954.511031,9684.015609,2749.401407,5745.924812,1127.308455,35506.045794
01/29/2023 03:00,8525.995863,1115.422501,5345.181274,956.932142,9504.607362,2643.998068,5592.824899,1118.724318,34803.686427
01/29/2023 04:00,8389.745762,1093.744548,5346.058295,976.241133,9402.458349,2615.799963,5486.365581,1119.795677,34430.209308
01/29/2023 05:00,8363.205079,1096.049771,5341.254006,998.443001,9414.986138,2550.331545,5461.300641,1137.826968,34363.397148
01/29/2023 06:00,8359.962553,1126.338769,5315.973654,1023.38666,9699.053381,2583.084791,5505.522333,1166.649599,34779.97174
01/29/2023 07:00,8500.854948,1151.69146,5309.345197,1068.710981,10077.665175,2630.43183,5657.707778,1219.383457,35615.790825
01/29/2023 08:00,8711.672881,1221.267909,5356.35994,1125.865785,10697.154643,2698.136467,5892.57629,1292.96935,36996.003264
01/29/2023 09:00,9039.795997,1272.550524,5349.301235,1127.307738,11541.493611,2855.932568,6140.229446,1338.832301,38665.443421
01/29/2023 10:00,9480.228292,1324.419556,5422.436883,1245.880894,12651.644769,2959.274022,6391.965832,1360.809858,40836.660105
01/29/2023 11:00,9849.323717,1372.833675,5434.310455,1252.868246,13530.986574,3197.927079,6477.760865,1363.052017,42479.062629
01/29/2023 12:00,10126.554526,1429.788401,5410.59326,1245.325737,14214.757483,3368.631043,6499.945241,1357.20415,43652.799841
01/29/2023 13:00,10386.998469,1452.745036,5383.072497,1327.682718,14790.791319,3412.158938,6612.244201,1361.468335,44727.161512
01/29/2023 14:00,10595.98269,1506.011206,5439.805941,1269.751776,15363.821863,3580.524753,6576.721157,1356.046563,45688.665949
01/29/2023 15:00,10698.311127,1525.078523,5439.797893,1264.668273,15682.199249,3728.703523,6611.66914,1348.873024,46299.300753
01/29/2023 16:00,10735.399961,1574.75441,5414.550087,1331.743397,15929.491038,3818.504539,6723.319923,1345.409755,46873.173111
01/29/2023 17:00,10741.153029,1617.68432,5407.343271,1296.90863,16280.889445,3974.609371,6854.768527,1348.911376,47522.267968
01/29/2023 18:00,10809.617334,1671.87813,5390.314546,1302.609605,16939.079402,3942.725174,7096.108895,1388.826332,48541.159418
01/29/2023 19:00,10961.001098,1749.662883,5404.643983,1421.751214,17713.991371,3938.129474,7388.290403,1473.35366,50050.824087
01/29/2023 20:00,10888.405801,1824.5738,5488.917269,1467.740616,18047.282351,3906.303546,7403.149778,1529.735746,50556.108909
01/29/2023 21:00,10666.011934,1860.214654,5522.087206,1473.903152,18044.846631,3793.65506,7217.585639,1542.291691,50120.595967
01/29/2023 22:00,10344.674215,1823.095038,5519.102977,1465.714784,17941.763302,3672.597021,7030.295933,1546.12085,49343.364119
01/29/2023 23:00,9828.561527,1768.609119,5512.507094,1424.592735,17370.511954,3420.820867,6688.564045,1519.151063,47533.318405
01/29/2023 24:00,9249.366592,1720.502394,5523.018159,1388.867317,16826.70548,3226.868827,6325.757953,1496.173397,45757.260119
01/30/2023 01:00,9168.372477,1674.029319,5411.93497,1382.974116,16252.694338,2966.368014,6387.824757,1410.17564,44654.373632
01/30/2023 02:00,8974.18459,1705.663348,5469.672752,1383.653696,16274.825177,2833.655225,6359.866813,1417.872145,44419.393748
01/30/2023 03:00,8939.884634,1737.403839,5498.092667,1386.188351,16558.656274,2648.114296,6448.886996,1440.746537,44657.973595
01/30/2023 04:00,9006.163994,1773.498632,5531.891134,1399.998593,16906.774534,2672.195405,6648.754214,1471.417313,45410.693819
01/30/2023 05:00,9311.432435,1825.263213,5606.176424,1433.772953,17530.935491,2733.551007,7056.532115,1506.626876,47004.290514
01/30/2023 06:00,9885.352087,2001.209486,5637.612955,1494.531429,18639.072366,2854.359133,7749.378602,1555.695356,49817.211415
01/30/2023 07:00,10803.215295,2232.694579,5684.985922,1582.363323,20280.50617,3150.980628,8797.93125,1671.864872,54204.542039
01/30/2023 08:00,11326.70283,2302.359873,5449.922728,1625.260284,21173.226145,3333.770405,9491.352841,1743.232249,56445.827354
01/30/2023 09:00,11573.900698,2333.962144,5328.875054,1575.329891,21295.993424,3333.617648,9833.478757,1764.8923,57040.049917
01/30/2023 10:00,11852.190146,2387.83243,5371.251918,1581.533151,21421.288233,3416.409003,10150.129093,1789.132387,57969.766362
01/30/2023 11:00,12025.8074,2397.458929,5364.824886,1579.369221,21373.393388,3545.731328,10425.817587,1799.97721,58512.379948
01/30/2023 12:00,12199.87046,2413.348485,5387.151125,1583.869744,21554.000314,3523.104486,10635.847706,1833.671373,59130.863694
01/30/2023 13:00,12276.864267,2435.407617,5422.853987,1589.951572,21618.871837,3637.818831,10815.58836,1838.193687,59635.550157
01/30/2023 14:00,12367.678646,2426.520362,5429.039798,1560.332256,21550.638953,3858.138292,10918.641871,1841.613179,59952.603357
01/30/2023 15:00,12375.998743,2421.436392,5406.358937,1540.90865,21386.855143,3890.709453,10984.400893,1826.392643,59833.060856
01/30/2023 16:00,12511.351655,2419.788396,5384.420113,1518.376085,21409.462647,3906.113884,11092.401792,1831.298653,60073.213225
01/30/2023 17:00,12663.020749,2475.41989,5356.321424,1508.120626,21507.308518,3959.01426,11337.209023,1844.13388,60650.54837
01/30/2023 18:00,13058.198273,2529.647362,5352.347086,1519.501781,21858.470431,3999.370792,11715.603984,1863.014807,61896.154516
01/30/2023 19:00,13382.228525,2582.486042,5392.983925,1560.121465,22012.409371,4174.855541,12008.060673,1905.070147,63018.21569
01/30/2023 20:00,13317.801912,2522.96212,5436.305017,1600.912784,21659.08833,4223.063043,11972.436373,1895.655959,62628.225538
01/30/2023 21:00,13228.888578,2447.869183,5468.950753,1583.822167,21389.695805,4222.925867,11775.64362,1891.522689,62009.318661
01/30/2023 22:00,12997.811594,2370.346503,5633.793507,1559.869299,21088.584115,4087.307158,11444.944029,1863.087154,61045.743359
01/30/2023 23:00,12484.84924,2255.752885,5725.606778,1515.715592,20334.044253,3872.610019,10955.030158,1807.520535,58951.12946
01/30/2023 24:00,12007.328525,2158.548535,5660.544817,1475.553809,19667.455,3780.56718,10571.716585,1758.794574,57080.509024
01/31/2023 01:00,11910.219532,2118.040637,5748.755455,1410.773966,18685.924001,3775.327796,10418.07257,1772.018701,55839.132657
01/31/2023 02:00,11737.945351,2094.892501,5740.878239,1403.011291,18538.138439,3720.851568,10321.828248,1776.87521,55334.420848
01/31/2023 03:00,11692.15179,2090.596911,5735.328528,1405.785677,18541.302309,3688.115967,10302.243424,1787.161643,55242.68625
01/31/2023 04:00,11719.731531,2105.666662,5709.295898,1413.576752,18651.837782,3731.917324,10365.203267,1803.382193,55500.611409
01/31/2023 05:00,12006.730503,2154.799905,5715.026839,1434.665964,18968.863606,3772.032678,10550.428119,1833.797676,56436.345291
01/31/2023 06:00,12699.957605,2262.45753,5684.664418,1469.942331,19512.02357,4078.632287,10961.950335,1872.592448,58542.220524
01/31/2023 07:00,13554.069339,2413.724163,5686.63028,1522.609167,20131.534996,4554.569782,11486.696037,1911.531763,61261.365527
01/31/2023 08:00,13972.047646,2489.167122,5677.721989,1579.313482,20757.980545,4739.890668,11858.935192,1891.549602,62966.606246
01/31/2023 09:00,14064.555368,2489.889797,5734.140874,1601.321151,21218.858287,4750.516021,12081.164097,1886.556885,63827.00248
01/31/2023 10:00,14194.234901,2498.374495,5731.317794,1618.364043,21526.508875,4796.810258,12194.842394,1890.008238,64450.460998
01/31/2023 11:00,14255.04518,2498.682263,5736.415749,1624.000993,21598.181982,4827.273568,12240.590107,1874.89806,64655.087902
01/31/2023 12:00,14181.593736,2485.506964,5746.315856,1611.08146,21614.18442,4928.180589,12257.189338,1860.871366,64684.92373
01/31/2023 13:00,14050.767445,2462.732869,5756.520899,1592.005909,21575.457112,4961.300644,12233.015946,1846.145875,64477.946698
01/31/2023 14:00,13955.637542,2472.034967,5752.29836,1567.429587,21419.436525,4944.02479,12180.932135,1822.235534,64114.02944
01/31/2023 15:00,13856.393013,2461.030082,5745.690877,1539.924083,21178.535135,4910.283092,12060.28539,1793.763624,63545.905297
01/31/2023 16:00,13935.68242,2453.100287,5733.061456,1509.273429,21034.635465,4930.400956,12025.991538,1768.647791,63390.793341
01/31/2023 17:00,14192.679866,2469.508766,5693.178493,1503.16502,20964.985792,5138.544305,12117.490874,1759.676003,63839.22912
01/31/2023 18:00,14614.000094,2502.921533,5570.692894,1522.134671,21259.298056,5271.018299,12342.8964,1771.62531,64854.587257
01/31/2023 19:00,14860.323265,2556.453716,5524.670093,1551.827513,21352.280205,5518.165774,12468.609959,1799.640416,65631.970941
